epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.4676,2.45466,5.02162,2.26801,0.00088,0.2381,0.00171,0.00085,2.03785,4.25456,1.8737,0.00010003,0.00010003,0.00010003
2,8.24153,2.19069,4.73087,2.0762,0.00025,0.07143,0.00048,0.0001,2.3365,4.13819,2.08775,0.000214298,0.000214298,0.000214298
3,11.3572,1.81027,4.0559,1.68992,0.00214,0.47619,0.03299,0.00972,2.13426,3.97608,1.67461,0.000328349,0.000328349,0.000328349
4,14.4672,1.67302,3.46249,1.61503,0.00227,0.55159,0.19512,0.07463,1.83923,3.81934,1.54462,0.000442017,0.000442017,0.000442017
5,17.7175,1.71057,3.23126,1.65411,0.00178,0.39683,0.00601,0.00111,2.24803,4.02975,1.87365,0.000555135,0.000555135,0.000555135
6,20.9596,1.65137,2.84665,1.58104,0.00117,0.37698,0.02829,0.01559,2.19578,3.99729,2.06324,0.000667537,0.000667537,0.000667537
7,23.8816,1.61694,2.69421,1.53249,0.0019,0.63095,0.14804,0.0537,1.99512,3.72181,1.93488,0.000779059,0.000779059,0.000779059
8,26.885,1.6203,2.48592,1.5451,0.0007,0.23016,0.00781,0.00365,2.83705,4.24478,3.46192,0.000889538,0.000889538,0.000889538
9,30.1118,1.51956,2.32267,1.51376,0.38017,0.26984,0.29573,0.15282,1.67998,3.07718,1.5558,0.000998812,0.000998812,0.000998812
10,33.1002,1.44862,2.16672,1.41105,0.1196,0.13139,0.07482,0.02399,2.01408,4.01384,2.06382,0.00110672,0.00110672,0.00110672
11,38.0912,1.39548,2.09028,1.41084,0.33835,0.07937,0.12333,0.06028,2.18578,3.66145,1.86303,0.00121311,0.00121311,0.00121311
12,40.7681,1.45048,2.12878,1.40256,0.00024,0.07143,0.00019,6e-05,2.97788,4.97728,3.04673,0.00131782,0.00131782,0.00131782
13,43.4303,1.44072,2.06765,1.42508,0.00113,0.3373,0.00142,0.00041,2.50838,4.62871,2.48332,0.00137933,0.00137933,0.00137933
14,46.1582,1.39103,1.88804,1.38895,0.3389,0.03571,0.00205,0.00037,2.71458,7.23525,2.85168,0.00137082,0.00137082,0.00137082
15,48.8708,1.34368,1.83261,1.33441,0.00161,0.49206,0.00166,0.00041,2.2066,14.1485,2.56478,0.00136168,0.00136168,0.00136168
16,51.3655,1.44117,1.89126,1.43861,0.00168,0.46429,0.00195,0.00072,2.54745,4.8035,3.02734,0.0013519,0.0013519,0.0013519
17,54.0108,1.3871,1.77652,1.38374,0.00106,0.3254,0.00115,0.00029,2.83943,4.56326,3.56512,0.0013415,0.0013415,0.0013415
18,57.3389,1.35843,1.62294,1.35664,0.09119,0.05501,0.037,0.01215,2.4509,4.01945,2.28622,0.0013305,0.0013305,0.0013305
19,60.5648,1.33742,1.54014,1.32605,0.26324,0.28571,0.20024,0.09888,1.96129,2.98924,1.743,0.00131888,0.00131888,0.00131888
20,63.2719,1.33862,1.54521,1.38242,0.07107,0.28175,0.05288,0.01721,2.15118,3.99394,2.11365,0.00130668,0.00130668,0.00130668
21,66.1235,1.26908,1.46711,1.33247,0.69722,0.54065,0.56006,0.19012,1.9915,2.07303,1.84726,0.00129391,0.00129391,0.00129391
22,68.9717,1.26234,1.38861,1.31705,0.371,0.46032,0.40149,0.17451,1.99815,2.25415,1.81988,0.00128057,0.00128057,0.00128057
23,74.4099,1.29332,1.43601,1.32635,0.41354,0.46429,0.38262,0.15151,2.18355,2.08912,2.01714,0.00126667,0.00126667,0.00126667
24,77.2474,1.18161,1.29901,1.26774,0.25759,0.31957,0.28062,0.13286,2.14404,2.50363,1.92265,0.00125224,0.00125224,0.00125224
25,80.2059,1.17474,1.2612,1.2612,0.43496,0.22264,0.22628,0.13407,1.77221,3.36326,1.61172,0.00123728,0.00123728,0.00123728
26,82.7279,1.17842,1.23552,1.23856,0.47629,0.67339,0.57996,0.2069,1.9147,2.09194,1.73909,0.00122182,0.00122182,0.00122182
27,85.3417,1.13916,1.20036,1.23929,0.64375,0.49522,0.48595,0.15311,2.20481,2.36461,1.90335,0.00120586,0.00120586,0.00120586
28,87.9983,1.14048,1.16192,1.24373,0.38271,0.45967,0.43189,0.21894,1.652,1.87661,1.48611,0.00118943,0.00118943,0.00118943
29,90.7773,1.1703,1.19003,1.26148,0.46388,0.49206,0.52003,0.17523,2.13376,1.70197,1.91427,0.00117253,0.00117253,0.00117253
30,93.5136,1.13595,1.17816,1.24648,0.44759,0.60131,0.4549,0.20721,2.11115,1.64495,1.69669,0.00115519,0.00115519,0.00115519
31,96.0812,1.16144,1.11996,1.22631,0.77491,0.43272,0.55024,0.24665,1.89986,1.6641,1.7251,0.00113742,0.00113742,0.00113742
32,98.85,1.12638,1.10318,1.22609,0.88365,0.38388,0.53543,0.25139,2.04508,1.62388,1.76169,0.00111924,0.00111924,0.00111924
33,101.695,1.1037,1.02914,1.19523,0.68483,0.50306,0.50019,0.25444,1.85046,1.62825,1.6516,0.00110066,0.00110066,0.00110066
34,106.809,1.07239,1.00402,1.20364,0.37768,0.54762,0.46606,0.20701,1.93755,1.57187,1.62833,0.00108172,0.00108172,0.00108172
35,109.534,1.11356,1.06003,1.21564,0.43167,0.5873,0.54132,0.20243,2.2634,1.64086,1.88586,0.00106242,0.00106242,0.00106242
36,112.322,1.0833,1.04855,1.18606,0.39038,0.52508,0.49964,0.22712,2.10255,1.62113,1.79969,0.00104278,0.00104278,0.00104278
37,115.211,0.99979,0.96548,1.13566,0.35148,0.55556,0.43104,0.24112,1.95695,1.85767,1.77636,0.00102282,0.00102282,0.00102282
38,117.999,1.01383,0.93967,1.1449,0.33468,0.65476,0.42777,0.22483,1.72333,2.23891,1.46294,0.00100257,0.00100257,0.00100257
39,120.686,1.01083,0.92529,1.1362,0.39782,0.39683,0.43763,0.2601,1.9159,1.91757,1.48878,0.00098204,0.00098204,0.00098204
40,123.242,1.00315,0.92898,1.16964,0.57243,0.71429,0.68721,0.37298,1.81341,1.35891,1.54527,0.000961253,0.000961253,0.000961253
41,125.809,0.99603,0.92389,1.14794,0.54206,0.37905,0.55373,0.2339,1.93521,1.82964,1.70293,0.00094023,0.00094023,0.00094023
42,128.299,0.93829,0.86199,1.11155,0.71589,0.6439,0.66975,0.34753,1.74317,1.31597,1.51147,0.000918991,0.000918991,0.000918991
43,130.981,1.00099,0.89539,1.1512,0.59211,0.8035,0.77923,0.39504,1.69668,1.51858,1.53834,0.000897557,0.000897557,0.000897557
44,133.715,0.98213,0.84917,1.14649,0.8084,0.57143,0.65061,0.37635,1.62838,1.62412,1.43428,0.00087595,0.00087595,0.00087595
45,136.502,0.94625,0.83461,1.12736,0.73433,0.5873,0.51415,0.29017,1.86836,1.7295,1.55554,0.00085419,0.00085419,0.00085419
46,141.691,0.93758,0.81538,1.09869,0.78506,0.63492,0.6609,0.36629,1.69065,1.42449,1.46619,0.0008323,0.0008323,0.0008323
47,144.749,0.86212,0.78259,1.06253,0.51589,0.65476,0.61494,0.32435,1.76025,1.4798,1.41504,0.0008103,0.0008103,0.0008103
48,147.785,0.93418,0.81924,1.1006,0.44873,0.53246,0.55953,0.27901,1.84514,1.37677,1.46557,0.000788213,0.000788213,0.000788213
49,150.576,0.90774,0.7829,1.08803,0.84867,0.60437,0.69442,0.35305,1.70863,1.36473,1.48678,0.00076606,0.00076606,0.00076606
50,153.333,0.88143,0.77981,1.0903,0.56093,0.74778,0.71512,0.40588,1.59004,1.12617,1.46984,0.000743864,0.000743864,0.000743864
51,155.992,0.88542,0.7824,1.07016,0.48504,0.62664,0.66887,0.39215,1.5817,1.19575,1.42311,0.000721645,0.000721645,0.000721645
52,158.52,0.85475,0.73021,1.04891,0.59198,0.72222,0.67583,0.41736,1.5029,1.19231,1.36211,0.000699426,0.000699426,0.000699426
53,161.074,0.84679,0.72841,1.06004,0.54797,0.78175,0.69178,0.36458,1.67958,1.27823,1.46284,0.00067723,0.00067723,0.00067723
